symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.19047619,Medium,0,1
3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.19047619,Medium,0,1
1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.36842105,Medium,0,1
2,164,audi,std,four,sedan,fwd,front,99.8,0.848630466,0.919444444,,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.791666667,Medium,0,1
2,164,audi,std,four,sedan,4wd,front,99.4,0.848630466,0.922222222,,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.05555556,Medium,0,1
2,122,audi,std,two,sedan,fwd,front,99.8,0.851994234,0.920833333,,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.36842105,Medium,0,1
1,158,audi,std,four,sedan,fwd,front,105.8,0.925997117,0.991666667,,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.36842105,Medium,0,1
1,122,audi,std,four,wagon,fwd,front,105.8,0.925997117,0.991666667,,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.36842105,Medium,0,1
1,158,audi,turbo,four,sedan,fwd,front,105.8,0.925997117,0.991666667,,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.82352941,Medium,0,1
2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.2173913,Low,0,1
0,192,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925,10.2173913,Low,0,1
0,188,bmw,std,two,sedan,rwd,,101.2,0.849591543,0.9,,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19047619,Medium,0,1
0,188,bmw,std,two,sedan,rwd,,101.2,0.849591543,0.9,,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19047619,Medium,0,1
0,188,bmw,std,two,sedan,rwd,,101.2,0.849591543,0.9,,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970,11.19047619,Medium,0,1
0,188,bmw,std,four,sedan,rwd,front,101.2,0.849591543,0.9,,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105,11.19047619,Medium,0,1
1,122,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565,11.75,Medium,0,1
0,122,bmw,std,four,sedan,rwd,front,103.5,0.908217203,0.929166667,,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760,14.6875,High,0,1
0,122,bmw,std,two,sedan,rwd,front,103.5,0.931283037,0.943055556,,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315,14.6875,High,0,1
0,122,bmw,std,four,sedan,rwd,front,110,0.946660259,0.984722222,,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.66666667,High,0,1
0,122,bmw,std,four,sedan,rwd,front,110,0.946660259,0.984722222,,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880,15.66666667,High,0,1
2,121,chevrolet,std,two,hatchback,fwd,front,88.4,0.678039404,0.8375,,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,5,Low,0,1
1,98,chevrolet,std,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,,52,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,6.184210526,Low,0,1
0,81,chevrolet,std,four,sedan,fwd,front,94.5,0.763094666,0.883333333,,52,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,6.184210526,Low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,6.351351351,Low,0,1
1,118,dodge,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,7.580645161,Low,0,1
1,118,dodge,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,9.791666667,Medium,0,1
1,148,dodge,std,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,7.580645161,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.580645161,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.580645161,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,7.580645161,Low,0,1
1,148,dodge,std,four,sedan,fwd,front,93.7,0.755886593,0.886111111,,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,7.580645161,Low,0,1
1,148,dodge,turbo,four,sedan,fwd,front,93.7,0.755886593,0.886111111,,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.791666667,Medium,0,1
-1,110,dodge,std,four,wagon,fwd,front,103.3,0.839019702,0.897222222,,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.791666667,Low,0,1
3,145,dodge,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,,50.2,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964,12.36842105,Medium,0,1
2,137,honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,4.795918367,Low,0,1
2,137,honda,std,two,hatchback,fwd,front,86.6,0.694858241,0.8875,,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,7.580645161,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,6.184210526,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,7.833333333,Low,0,1
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,7.833333333,Low,0,1
0,110,honda,std,four,sedan,fwd,front,96.5,0.785199423,0.888888889,,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,7.833333333,Low,0,1
0,78,honda,std,four,wagon,fwd,front,96.5,0.754925517,0.8875,,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,7.833333333,Low,0,1
0,106,honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,8.703703704,Low,0,1
0,106,honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,8.703703704,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,8.703703704,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.868055556,,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,8.703703704,Low,0,1
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,9.791666667,Low,0,1
1,107,honda,std,two,sedan,fwd,front,96.5,0.812590101,0.916666667,,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.4,Low,0,1
0,122,isuzu,std,four,sedan,rwd,front,94.3,0.820278712,0.858333333,,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,9.791666667,Low,0,1
1,107,honda,std,two,sedan,fwd,front,96.5,0.812590101,0.916666667,,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.4,Low,0,1
0,122,isuzu,std,four,sedan,rwd,front,94.3,0.820278712,0.858333333,,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,9.791666667,Low,0,1
2,122,isuzu,std,two,hatchback,rwd,front,96,0.829408938,0.905555556,,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,9.791666667,Low,0,1
0,145,jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,15.66666667,High,0,1
0,122,jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,15.66666667,High,0,1
0,122,jaguar,std,two,sedan,rwd,front,102,0.921191735,0.980555556,,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,18.07692308,,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,7.833333333,Low,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,7.580645161,Low,0,1
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,7.580645161,Low,0,1
1,113,mazda,std,four,sedan,fwd,front,93.1,0.801537722,0.891666667,,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,7.580645161,Low,0,1
1,113,mazda,std,four,sedan,fwd,front,93.1,0.801537722,0.891666667,,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,7.580645161,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,,49.6,2380,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,10945,13.82352941,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,,49.6,2380,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,11845,13.82352941,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,,49.6,2385,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,13645,13.82352941,Low,0,1
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,,49.6,2500,rotor,two,80,mpfi,3.329751244,,9.4,135,6000,16,23,15645,14.6875,Medium,0,1
1,129,mazda,std,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,9.038461538,Low,0,1
0,115,mazda,std,four,sedan,fwd,front,98.8,0.854396925,0.923611111,,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,9.038461538,Low,0,1
1,129,mazda,std,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9.038461538,Low,0,1
0,115,mazda,std,four,sedan,fwd,front,98.8,0.854396925,0.923611111,,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,9.038461538,Low,0,1
0,122,mazda,std,four,sedan,fwd,front,98.8,0.854396925,0.923611111,,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,6.527777778,Low,1,0
0,115,mazda,std,four,hatchback,fwd,front,98.8,0.854396925,0.923611111,,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,9.038461538,Low,0,1
0,118,mazda,std,four,sedan,rwd,front,104.9,0.840941855,0.918055556,,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,12.36842105,Medium,0,1
0,122,mazda,std,four,sedan,rwd,front,104.9,0.840941855,0.918055556,,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,7.580645161,Low,1,0
-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110,0.917347429,0.976388889,,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,10.68181818,Medium,1,0
-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110,0.917347429,0.976388889,,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,10.68181818,Medium,1,0
0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.90100913,0.976388889,,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,10.68181818,Medium,1,0
-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.973570399,0.995833333,,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,10.68181818,Medium,1,0
-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,0.973570399,0.995833333,,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,14.6875,Medium,0,1
3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.86641038,0.979166667,,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,14.6875,Medium,0,1
0,122,mercedes-benz,std,four,sedan,rwd,,120.9,1,0.995833333,,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,16.78571429,High,0,1
1,122,mercedes-benz,std,two,hardtop,rwd,front,112,0.9572321,1,,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,16.78571429,High,0,1
1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280154,0.944444444,,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,12.36842105,High,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,6.351351351,Low,0,1
1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280154,0.944444444,,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,16503,12.36842105,High,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,6.351351351,Low,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,7.580645161,Low,0,1
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,7.580645161,Low,0,1
1,161,mitsubishi,turbo,two,hatchback,fwd,front,93,0.755886593,0.886111111,,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,9.791666667,Medium,0,1
3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,10.2173913,Medium,0,1
3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,9.4,Low,0,1
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,12.36842105,Medium,0,1
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,12.36842105,Medium,0,1
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,12.36842105,Medium,0,1
1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.828447862,0.908333333,,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,9.4,Low,0,1
1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.828447862,0.908333333,,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,9.4,Low,0,1
1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.828447862,0.908333333,,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,10.2173913,Medium,0,1
-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.828447862,0.908333333,,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,10.2173913,Medium,0,1
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,7.580645161,Low,0,1
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,5.222222222,Low,1,0
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,7.580645161,Low,0,1
1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649,0.886111111,,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,7.580645161,Low,0,1
1,103,nissan,std,four,wagon,fwd,front,94.5,0.817876021,0.886111111,,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,7.580645161,Low,0,1
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,7.580645161,Low,0,1
1,128,nissan,std,two,hatchback,fwd,front,94.5,0.795771264,0.886111111,,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,7.580645161,Low,0,1
1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649,0.886111111,,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,7.580645161,Low,0,1
1,103,nissan,std,four,wagon,fwd,front,94.5,0.817876021,0.886111111,,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,7.580645161,Low,0,1
2,168,nissan,std,two,hardtop,fwd,front,95.1,0.780394041,0.886111111,,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,7.580645161,Low,0,1
0,106,nissan,std,four,hatchback,fwd,front,97.2,0.833253244,0.905555556,,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,8.703703704,Low,0,1
0,106,nissan,std,four,sedan,fwd,front,97.2,0.833253244,0.905555556,,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,8.703703704,Low,0,1
0,128,nissan,std,four,sedan,fwd,front,100.4,0.873137914,0.923611111,,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,13.82352941,Medium,0,1
0,108,nissan,std,four,wagon,fwd,front,100.4,0.887073522,0.923611111,,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399,13.82352941,Medium,0,1
0,108,nissan,std,four,sedan,fwd,front,100.4,0.887073522,0.923611111,,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499,12.36842105,Medium,0,1
3,194,nissan,std,two,hatchback,rwd,front,91.3,0.820278712,0.943055556,,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199,12.36842105,High,0,1
3,194,nissan,turbo,two,hatchback,rwd,front,91.3,0.820278712,0.943055556,,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,13.82352941,High,0,1
1,231,nissan,std,two,hatchback,rwd,front,99.2,0.857760692,0.943055556,,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399,12.36842105,High,0,1
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164825,0.95,,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,12.36842105,Low,0,1
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164825,0.95,,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200,8.392857143,Low,1,0
0,122,peugot,std,four,wagon,rwd,front,114.2,0.955790485,0.95,,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,12.36842105,Low,0,1
0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.955790485,0.95,,58.7,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,13860,9.4,Low,1,0
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164825,0.95,,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,12.36842105,Low,0,1
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164825,0.95,,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900,8.392857143,Low,1,0
0,122,peugot,std,four,wagon,rwd,front,114.2,0.955790485,0.95,,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,12.36842105,Low,0,1
0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.955790485,0.95,,58.7,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,17075,9.4,Low,1,0
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164825,0.95,,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,12.36842105,Low,0,1
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164825,0.95,,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950,8.392857143,Low,1,0
